PIN_NUM,CALC_AREA,REID,DEED_ACRES,BLDG_VAL,LAND_VAL,TOTAL_VALUE_ASSD,HEATEDAREA,SITE_ADDRESS,CITY_DECODE,TOWNSHIP_DECODE,YEAR_BUILT,TYPE_USE_DECODE,LAND_CLASS_DECODE,ZIPNUM
1713072013,0.09433373,7442,0.09,225890,300000,525890,1233,420 HAYWOOD ST,RALEIGH,Raleigh,1930,SINGLFAM,Residential Less Than 10 Acres,27601
0795976770,0.68565279,60,0.71,72312,1026375,1098687,2170,201 TRANSYLVANIA AVE,RALEIGH,Raleigh,1952,SINGLFAM,Residential Less Than 10 Acres,27609
1723256331,0.31068987,30874,0.31,141076,100000,241076,1282,3201 FRIAR TUCK RD,RALEIGH,Raleigh,1961,SINGLFAM,Residential Less Than 10 Acres,27610
0783994433,0.59580962,66,0.6,155725,236500,392225,1457,1218 LORIMER RD,RALEIGH,Raleigh,1950,SINGLFAM,Residential Less Than 10 Acres,27606
1732241421,0.36311986,69,0.36,115788,110000,225788,976,5009 ROYAL ACRES RD,,St. Mary's,1970,SINGLFAM,Residential Less Than 10 Acres,27610
0774386509,0.48979301,7511,0.49,336324,195000,531324,1978,6421 ARRINGTON RD,,Cary,1966,SINGLFAM,Residential Less Than 10 Acres,27607
0795014088,0.32623791,158,0.33,284529,350000,634529,3330,3313 HARDEN RD,RALEIGH,Meredith,1971,SINGLFAM,Residential Less Than 10 Acres,27607
0784992402,0.35813795,183,0.36,297604,350000,647604,2806,2001 NANCY ANN DR,RALEIGH,Meredith,1975,SINGLFAM,Residential Less Than 10 Acres,27607
1713730822,0.20863925,23081,0.21,104923,110000,214923,1107,804 PEYTON ST,RALEIGH,Raleigh,1960,SINGLFAM,Residential Less Than 10 Acres,27610
0656699900,0.17284922,237,0.18,181227,65000,246227,1536,312 BRIDGE ST,FUQUAY-VARINA,Middle Creek,1995,SINGLFAM,Residential Less Than 10 Acres,27526
1713670101,0.2162042,31292,0.22,141805,130000,271805,1012,404 LANSING ST,RALEIGH,Raleigh,1955,SINGLFAM,Residential Less Than 10 Acres,27610
1751302126,1.00648534,244,1,99667,90000,189667,1452,8513 OLD BAUCOM RD,,St. Mary's,1961,SINGLFAM,Residential Less Than 10 Acres,27610
1714462384,0.24272827,251,0.24,97109,315000,412109,1176,416 ROBIN HOOD DR,RALEIGH,Raleigh,1958,SINGLFAM,Residential Less Than 10 Acres,27604
0790243585,0.84016223,26271,0.84,313029,150000,463029,2818,3104 MANOR RIDGE DR,,Swift Creek,1966,SINGLFAM,Residential Less Than 10 Acres,27603
1704392958,0.30882718,312,0.33,551593,761250,1312843,3403,2123 COWPER DR,RALEIGH,Raleigh,1990,SINGLFAM,Residential Less Than 10 Acres,27608
0699846977,1.97147524,313,1.95,329624,90000,419624,2943,4301 ON TRACK RD,,Panther Branch,2000,SINGLFAM,Residential Less Than 10 Acres,27603
1712098789,0.18107429,315,0.18,120812,105000,225812,1095,1920 BOAZ RD,RALEIGH,Raleigh,1959,SINGLFAM,Residential Less Than 10 Acres,27610
1725160218,0.30986607,376,0.31,189499,150000,339499,1807,3301 HUNTLEIGH DR,RALEIGH,St. Matthew's,1972,SINGLFAM,Residential Less Than 10 Acres,27604
1706014597,0.37625514,400,0.36,376561,517500,894061,3988,4513 BARTLETT DR,RALEIGH,Raleigh,1966,SINGLFAM,Residential Less Than 10 Acres,27609
1702065679,0.34032918,29817,0.34,108157,145000,253157,1000,1029 SUFFOLK BLVD,RALEIGH,Swift Creek,1968,SINGLFAM,Residential Less Than 10 Acres,27603
1706537895,0.2697916,421,0.27,49265,385000,434265,1782,505 NORTH GLEN DR,RALEIGH,Raleigh,1973,SINGLFAM,Residential Less Than 10 Acres,27609
0656865409,2.4918343,20652,2.49,753146,210000,963146,5838,208 REYNOLDS DR,FUQUAY-VARINA,Middle Creek,1965,SINGLFAM,Residential Less Than 10 Acres,27526
1703994402,0.05795356,469,0.06,193877,270000,463877,1145,523 E EDENTON ST,RALEIGH,Raleigh,1920,SINGLFAM,Residential Less Than 10 Acres,27601
0656786917,0.35579103,490,0.36,208920,82500,291420,1232,207 LAWRENCE ST,FUQUAY-VARINA,Middle Creek,2005,SINGLFAM,Residential Less Than 10 Acres,27526
1712589870,0.31285471,506,0.31,162650,120000,282650,1418,1917 SOUTHGATE DR,RALEIGH,St. Mary's,1968,SINGLFAM,Residential Less Than 10 Acres,27610
0713802696,3.62656468,23896,3.5,414283,330000,744283,2318,504 SLEEPY VALLEY RD,,White Oak,1988,SINGLFAM,Residential Less Than 10 Acres,27523
1704107922,0.21087806,23527,0.21,517999,850000,1367999,3334,129 HILLCREST RD,RALEIGH,Raleigh,1917,SINGLFAM,Residential Less Than 10 Acres,27605
1713280378,0.10601367,19888,0.11,150605,189000,339605,1555,123 S TARBORO ST,RALEIGH,Raleigh,1948,SINGLFAM,Residential Less Than 10 Acres,27610
1704849515,0.23521255,1865,0.22,43550,495000,538550,898,1204 COURTLAND DR,RALEIGH,Raleigh,1948,SINGLFAM,Residential Less Than 10 Acres,27604
1706196204,0.38499912,697,0.39,209578,210000,419578,1456,6425 DIXON DR,RALEIGH,House Creek,1972,SINGLFAM,Residential Less Than 10 Acres,27609
1707318073,0.32683288,773,0.33,133686,210000,343686,1100,6101 BELLOW ST,RALEIGH,House Creek,1973,SINGLFAM,Residential Less Than 10 Acres,27609
1701319542,0.697166,13771,0.7,459771,100000,559771,2588,701 LOCUST LN,,St. Mary's,2025,SINGLFAM,Residential Less Than 10 Acres,27603
1707349179,0.22294465,815,0.22,136533,175000,311533,1320,7400 ARCHER CIR,RALEIGH,House Creek,1972,SINGLFAM,Residential Less Than 10 Acres,27615
1707430261,0.18325356,827,0.18,166661,175000,341661,1161,7609 STUART DR,RALEIGH,House Creek,1973,SINGLFAM,Residential Less Than 10 Acres,27615
1707338872,0.26841147,834,0.27,119198,175000,294198,1254,7308 LONGSTREET DR,RALEIGH,House Creek,1971,SINGLFAM,Residential Less Than 10 Acres,27615
1747581340,0.84553713,12332,0.84,84435,120000,204435,1688,3236 FORESTVILLE RD,,Wake Forest,1901,SINGLFAM,Residential Less Than 10 Acres,27616
1716245257,0.28991298,846,0.29,227167,300000,527167,2569,5017 TREMONT DR,RALEIGH,Neuse,1967,SINGLFAM,Residential Less Than 10 Acres,27609
1841757369,0.1390537,16802,0.14,166791,100000,266791,1191,203 BRICK ST,WAKE FOREST,Wake Forest,1900,SINGLFAM,Residential Less Than 10 Acres,27587
0686498348,3.84592031,7242,4.32,355718,76500,432218,3872,7190 PANTHER LAKE RD,,Middle Creek,1975,SINGLFAM,Residential Less Than 10 Acres,27592
1725376564,0.46655165,27658,0.47,157435,95000,252435,1196,3609 OATES DR,RALEIGH,St. Matthew's,1959,SINGLFAM,Residential Less Than 10 Acres,27604
0783574705,0.39104311,30065,0.39,234484,200000,434484,1710,1013 POWELL DR,RALEIGH,Raleigh,1957,SINGLFAM,Residential Less Than 10 Acres,27606
1725052131,0.26831824,996,0.27,224475,150000,374475,2208,3101 ARROWWOOD DR,RALEIGH,St. Matthew's,1966,SINGLFAM,Residential Less Than 10 Acres,27604
1703465641,0.09005621,1006,0.09,29672,350000,379672,1364,522 W LENOIR ST,RALEIGH,Raleigh,1915,SINGLFAM,Residential Less Than 10 Acres,27601
1705110826,0.20472163,1048,0.21,121252,356250,477502,1704,2912 OBERLIN RD,RALEIGH,Raleigh,1949,SINGLFAM,Residential Less Than 10 Acres,27608
0795850085,0.2820086,19734,0.28,1053469,560000,1613469,3859,523 VICK AVE,RALEIGH,Raleigh,2015,SINGLFAM,Residential Less Than 10 Acres,27612
1841658362,0.29829647,1122,0.31,106981,100000,206981,1064,727 ELIZABETH AVE,WAKE FOREST,Wake Forest,1947,SINGLFAM,Residential Less Than 10 Acres,27587
1711038504,0.26914601,1131,0.27,161511,120000,281511,1443,1414 BEICHLER RD,GARNER,St. Mary's,1966,SINGLFAM,Residential Less Than 10 Acres,27529
0774685376,0.5905515,9910,0.59,105504,135000,240504,1120,5931 TRINITY RD,,Cary,1959,SINGLFAM,Residential Less Than 10 Acres,27607
1714912755,0.21973296,1184,0.22,116644,200000,316644,1012,2500 MILBURNIE RD,RALEIGH,Raleigh,1954,SINGLFAM,Residential Less Than 10 Acres,27610
1704914773,0.12249452,11531,0.12,158972,570000,728972,912,527 EUCLID ST,RALEIGH,RALEIGH,1930,SINGLFAM,Residential Less Than 10 Acres,27604
1779635829,1.51103276,24260,1.52,202754,69440,272194,1720,5825 ZEBULON RD,,Wake Forest,1966,SINGLFAM,Residential Less Than 10 Acres,27587
0792666937,0.50393015,1270,0.5,159239,215000,374239,1544,2417 LAKE WHEELER RD,RALEIGH,Swift Creek,1960,SINGLFAM,Residential Less Than 10 Acres,27603
1822158617,0.75961823,1327,0.77,167707,85500,253207,1401,12801 POWELL RD,,New Light,1910,SINGLFAM,Residential Less Than 10 Acres,27587
1711001227,2.31085855,13494,2.31,294607,154000,448607,3254,1200 VANDORA SPRINGS RD,GARNER,St. Mary's,1973,SINGLFAM,Residential Less Than 10 Acres,27529
0741591578,0.57883733,1349,0.58,124865,322000,446865,1248,208 CUNNINGHAM ST,APEX,White Oak,1994,SINGLFAM,Residential Less Than 10 Acres,27502
1706394954,0.26711205,6034,0.27,231276,210000,441276,1555,6104 BALLOU CT,RALEIGH,House Creek,1971,SINGLFAM,Residential Less Than 10 Acres,27609
1726225338,0.24764641,1369,0.25,160589,150000,310589,1216,4808 WATERBURY RD,RALEIGH,Neuse,1972,SINGLFAM,Residential Less Than 10 Acres,27604
1711206426,0.30562016,4134,0.31,190656,120000,310656,1404,914 FOREST DR,GARNER,St. Mary's,1955,SINGLFAM,Residential Less Than 10 Acres,27529
1711743193,0.61042537,1416,0.61,169445,70000,239445,1092,412 PENNY ST,,St. Mary's,1955,SINGLFAM,Residential Less Than 10 Acres,27529
0764321482,0.19651709,25821,0.19,63643,250000,313643,960,319 N WEST ST,CARY,Cary,1957,SINGLFAM,Residential Less Than 10 Acres,27513
1841813734,0.51837472,10350,0.5,141846,87500,229346,1044,256 SEVENTH ST,WAKE FOREST,Wake Forest,1960,SINGLFAM,Residential Less Than 10 Acres,27587
1714222848,0.20258689,1541,0.2,171334,300000,471334,1230,710 TYLER RD,RALEIGH,Raleigh,1951,SINGLFAM,Residential Less Than 10 Acres,27604
1704687613,0.23606025,1552,0.23,100047,495000,595047,1174,113 E WHITAKER MILL RD,RALEIGH,Raleigh,1938,SINGLFAM,Residential Less Than 10 Acres,27608
1728172810,1.06564393,1563,1.04,285996,197600,483596,2046,1419 MOOSECREEK DR,,Neuse,1970,SINGLFAM,Residential Less Than 10 Acres,27614
0797725495,2.40323968,1573,2.49,69495,360000,429495,2592,1711 LYNN RD,RALEIGH,House Creek,1965,SINGLFAM,Residential Less Than 10 Acres,27612
0786722603,0.43382439,15748,0.43,221053,300000,521053,2923,4605 FERNHAM PL,RALEIGH,House Creek,1968,SINGLFAM,Residential Less Than 10 Acres,27612
1713164562,0.13553993,2845,0.14,391206,275000,666206,1938,806 POSTELL ST,RALEIGH,Raleigh,2018,SINGLFAM,Residential Less Than 10 Acres,27601
0795554615,0.3883669,1595,0.39,245232,617500,862732,2560,2416 TYSON ST,RALEIGH,Raleigh,1961,SINGLFAM,Residential Less Than 10 Acres,27612
0795000284,0.39873401,19643,0.4,272279,350000,622279,3255,3401 CALDWELL DR,RALEIGH,Meredith,1964,SINGLFAM,Residential Less Than 10 Acres,27607
1712441952,0.21046428,1667,0.21,120676,105000,225676,1320,1309 ARMSTRONG CIR,RALEIGH,St. Mary's,1971,SINGLFAM,Residential Less Than 10 Acres,27610
0764016771,0.30791116,28431,0.31,125246,210000,335246,1039,121 CREST RD,CARY,Cary,1959,SINGLFAM,Residential Less Than 10 Acres,27513
0646970473,2.3638421,28121,2.48,327525,120000,447525,2541,1801 PHELPS WEST RD,,Middle Creek,1972,SINGLFAM,Residential Less Than 10 Acres,27526
1704206695,0.15609982,1813,0.16,40249,525000,565249,1323,303 CALVIN RD,RALEIGH,Raleigh,1928,SINGLFAM,Residential Less Than 10 Acres,27605
1704315305,0.20001354,1815,0.2,165347,472500,637847,1472,1201 PARK DR,RALEIGH,Raleigh,1923,SINGLFAM,Residential Less Than 10 Acres,27605
0741129440,0.45913293,1820,0.47,97920,175000,272920,960,1040 IRONGATE DR,APEX,White Oak,1974,SINGLFAM,Residential Less Than 10 Acres,27502
1716131618,0.27717849,1822,0.28,307188,360000,667188,2445,4912 BROOKHURST PL,RALEIGH,Raleigh,1969,SINGLFAM,Residential Less Than 10 Acres,27609
0789970224,3.28765809,22191,3.29,523492,311523,835015,2383,1300 FATHER AND SONS DR,,Leesville,2001,SINGLFAM,Residential Less Than 10 Acres,27613
1714369342,0.22643239,1823,0.23,163020,315000,478020,1364,2006 WATKINS ST,RALEIGH,Raleigh,1958,SINGLFAM,Residential Less Than 10 Acres,27604
1716048259,0.30462359,1910,0.31,44221,475000,519221,1791,4900 AUBURN RD,RALEIGH,Raleigh,1965,SINGLFAM,Residential Less Than 10 Acres,27609
1737425892,0.46003672,19675,0.47,176584,130000,306584,1320,7012 CARLTON DR,RALEIGH,NEUSE,1971,SINGLFAM,Residential Less Than 10 Acres,27616
0786930643,0.38789551,8300,0.39,362684,300000,662684,2514,4805 DEERWOOD DR,RALEIGH,House Creek,1961,SINGLFAM,Residential Less Than 10 Acres,27612
0779801438,0.54533983,6147,0.55,294179,160000,454179,2838,11108 LAKESHORE DR,,Leesville,1991,SINGLFAM,Residential Less Than 10 Acres,27613
1707823981,0.64558534,5168,0.65,204051,165000,369051,1922,6700 MILLBRIDGE CT,RALEIGH,House Creek,1971,SINGLFAM,Residential Less Than 10 Acres,27615
0742960636,0.33513364,5169,0.33,207598,210000,417598,1995,1628 CONE AVE,APEX,White Oak,1971,SINGLFAM,Residential Less Than 10 Acres,27502
0795634730,0.48322289,5180,0.48,410104,700000,1110104,3273,2222 LASH AVE,RALEIGH,Raleigh,1957,SINGLFAM,Residential Less Than 10 Acres,27607
0795832784,0.72236448,5433,0.72,814368,945000,1759368,5798,3305 FELTON PL,RALEIGH,Raleigh,1966,SINGLFAM,Residential Less Than 10 Acres,27612
1794222606,0.90182377,5431,0.89,240342,90000,330342,2130,635 WHITLEY WAY,WENDELL,Mark's Creek,1969,SINGLFAM,Residential Less Than 10 Acres,27591
0795952643,1.72708216,2038,1.73,2150820,1680000,3830820,11072,100 PERQUIMANS DR,RALEIGH,Raleigh,1960,SINGLFAM,Residential Less Than 10 Acres,27609
0786747711,0.32604914,2045,0.33,161580,300000,461580,1779,3909 LANCASTER DR,RALEIGH,House Creek,1964,SINGLFAM,Residential Less Than 10 Acres,27612
0763266323,0.32854141,2046,0.32,176986,190000,366986,1820,302 RUSTIC RIDGE RD,CARY,Cary,1971,SINGLFAM,Residential Less Than 10 Acres,27511
1705716424,0.59661522,2048,0.6,152164,628650,780814,2524,2440 OXFORD RD,RALEIGH,Raleigh,1958,SINGLFAM,Residential Less Than 10 Acres,27608
0794764825,0.32300541,2115,0.32,169006,650000,819006,2814,1209 BROOKS AVE,RALEIGH,Raleigh,1955,SINGLFAM,Residential Less Than 10 Acres,27607
1714266540,0.22555466,2118,0.23,121834,272000,393834,1216,203 DENNIS AVE,RALEIGH,Raleigh,1952,SINGLFAM,Residential Less Than 10 Acres,27604
0786720703,0.39184836,2147,0.39,225798,300000,525798,2131,4508 EMBLETON DR,RALEIGH,House Creek,1968,SINGLFAM,Residential Less Than 10 Acres,27612
0795145697,0.03004853,5360,0.03,236718,95000,331718,1296,3007 WYCLIFF RD,RALEIGH,Meredith,1969,SINGLFAM,Residential Less Than 10 Acres,27607
0666043712,0.17067845,2228,0.17,123571,94500,218071,898,204 PINE ST,FUQUAY-VARINA,Middle Creek,1955,SINGLFAM,Residential Less Than 10 Acres,27526
0656944249,0.90401787,2272,0.9,259350,100000,359350,3658,717 S MAIN ST,FUQUAY-VARINA,Middle Creek,1950,SINGLFAM,Residential Less Than 10 Acres,27526
1704920306,0.1302307,2281,0.13,280922,500000,780922,1788,704 N BLOODWORTH ST,RALEIGH,Raleigh,1926,SINGLFAM,Residential Less Than 10 Acres,27604
1714250415,0.23029461,2283,0.22,131317,320000,451317,1178,214 PLAINVIEW AVE,RALEIGH,Raleigh,1950,SINGLFAM,Residential Less Than 10 Acres,27604
1706404997,0.66833905,5542,0.67,76261,610938,687199,2548,603 MACON PL,RALEIGH,Raleigh,1967,SINGLFAM,Residential Less Than 10 Acres,27609
1706644163,0.32637254,5547,0.33,96747,384038,480785,2193,4901 NORTH GLEN DR,RALEIGH,Raleigh,1966,SINGLFAM,Residential Less Than 10 Acres,27609
2705277965,0.25492739,5663,0.26,156277,55000,211277,1092,119 E MCIVER ST,ZEBULON,Little River,1972,SINGLFAM,Residential Less Than 10 Acres,27597
1701949062,0.27991681,5665,0.28,146051,120000,266051,984,1519 BEICHLER RD,GARNER,St. Mary's,1971,SINGLFAM,Residential Less Than 10 Acres,27529
0666157182,0.52306347,2428,0.52,108431,110000,218431,1064,308 HOLLAND RD,FUQUAY-VARINA,Middle Creek,1954,SINGLFAM,Residential Less Than 10 Acres,27526
0783293139,0.21830043,2459,0.22,175343,116000,291343,1373,5217 VANN ST,RALEIGH,Raleigh,1987,SINGLFAM,Residential Less Than 10 Acres,27606
