PIN_NUM,Permit Type Mapped,Work Class,Proposed Work Description,Applied Date,Issued Date,Estimated Project Cost,CO Issued Date,Month Issued,Year Issued,Current Status,Permit Number
0798936390,Building,Alteration/Repairs,"Kitchen Remodel: No framing work to be done. Install new shut-off valves, plates. etc on all new plu",5/5/2023,5/15/2023,9356.56,,5,2023,Complete,BLDR-022101-2023
0798936390,Building,Alteration/Repairs,Repair one CMU pier and floor framing repairs per engineer report,8/8/2024,8/14/2024,3395,,8,2024,Complete,BLDR-039739-2024
0798924652,Building,Alterations/repairs,REPLACEMENT SIDING NON-STRUCTURAL,3/15/2011,3/15/2011,20880,40701.50935,3,2011,INACTIVE (INSPECTIONS COMPLETED),091263
0798924652,Building,Deck/Porch,SCREENED PORCH (236 SF) AND DECK (69 SF),9/11/2019,10/1/2019,0,,10,2019,Complete,BLDR-013113-2019
0798920233,Building,Alteration/Repairs,ADD ONE CAR GARAGE ON EXISTING HOME,6/9/2015,6/11/2015,0,,6,2015,Complete,122763
0798920233,Building,Alteration/Repairs,Foundation repair using the installation of 2 helical piers and 1 pipe pier.,3/20/2024,3/27/2024,4873.8,,3,2024,Complete,BLDR-013469-2024
0798919101,Building,Alterations/repairs,SUPPORT FOR CONCRETE FOOTINGS,8/13/2014,8/13/2014,700,41894.51619,8,2014,INACTIVE (INSPECTIONS COMPLETED),116141
0798919101,Building,Addition,"14 X 30 SUNROOM, 14 X 24 OPEN PORCH W/ROOF",8/18/2009,8/27/2009,65000,40120.55624,8,2009,INACTIVE (INSPECTIONS COMPLETED),082387
0798915242,Building,Addition,,4/26/2000,4/26/2000,29000,36698.80078,4,2000,INACTIVE (INSPECTIONS COMPLETED),001043
0798839319,Building,Other,8 X 12 DECK EXTENSION,5/23/2007,5/30/2007,2500,,5,2007,INACTIVE (INSPECTIONS COMPLETED),066636
0798839319,Building,Alterations/repairs,REPAIR WATER DAMAGE,2/6/2007,2/6/2007,12000,39372.48749,2,2007,INACTIVE (INSPECTIONS COMPLETED),063672
0798834606,Building,Alteration/Repairs,FINISH 3RD FLOOR ATTIC,5/1/2015,5/1/2015,0,42125,5,2015,Complete,121701
0798826197,Building,Alterations/repairs,ALTERATION AND REPAIRS,5/23/2003,5/27/2003,28800,37844.56398,5,2003,INACTIVE (INSPECTIONS COMPLETED),028008
0798820002,Building,Deck/Porch,Removal of existing deck and build new  16x16 covered porch and 16x16 open deck. Same footprint as e,5/8/2023,5/19/2023,47270,,5,2023,Complete,BLDR-022248-2023
0798815916,Building,Addition,"BATHROOM, FAMILY ROOM & COMPLETION OF BONUS ROOM",4/17/2001,4/17/2001,45000,37117.75921,4,2001,INACTIVE (INSPECTIONS COMPLETED),009892
0798815916,Building,Alteration/Repairs,FINISH BASEMENT WITH BATHROOM,1/9/2018,1/9/2018,0,43109,1,2018,Complete,145980
0798813161,Building,Other,ENCLOSE EXISTING DECK,7/17/2003,7/22/2003,23000,,7,2003,INACTIVE (INSPECTIONS COMPLETED),029434
0798802008,Building,Deck/Porch,BUILDING 144SF SCREEN PORCH WITH 212SF OPEN DECK,9/23/2019,10/10/2019,0,,10,2019,Complete,BLDR-015298-2019
0798802008,Building,Alteration/Repairs,"Kitchen remodel: full demolition, remove load bearing wall, new hood venting, gas line to range, rel",2/1/2023,2/3/2023,25288,,2,2023,Complete,BLDR-004446-2023
0798802008,Building,Alteration/Repairs,"Installing encapsulation, dehumidifier w/ condensate pump, sealing vents, and 1 GFCI outlet on a new",9/25/2025,10/1/2025,12872,,10,2025,Issued,BLDR-044481-2025
0798801320,Building,Other,BUILD NEW DECK/REPLACE REAR DOORS,2/27/2013,2/28/2013,19800,,2,2013,INACTIVE (INSPECTIONS COMPLETED),104909
0798801320,Building,Addition,ADD PANTRY,6/26/2000,6/26/2000,8000,36747.74022,6,2000,INACTIVE (INSPECTIONS COMPLETED),002670
0798747057,Building,New Building,SFD,9/7/2000,10/12/2000,560000,37025.62112,10,2000,INACTIVE (INSPECTIONS COMPLETED),004313
0798738004,Building,Alterations/repairs,SEALED CRAWL SPACE,9/24/2012,9/24/2012,6700,,9,2012,INACTIVE (INSPECTIONS COMPLETED),101966
0798738004,Building,New Building,TOWNHOUSE TYP. 65556; LOT 119,8/3/2004,8/31/2004,195150,38758.63569,8,2004,INACTIVE (INSPECTIONS COMPLETED),039242
0798737717,Building,New Building,SFD,5/15/2002,6/20/2002,604500,37692.55097,6,2002,INACTIVE (INSPECTIONS COMPLETED),019239
0798735098,Building,Alterations/repairs,SEALED CRAWL SPACE,9/24/2012,9/24/2012,5450,41184.50622,9,2012,INACTIVE (INSPECTIONS COMPLETED),101964
0798735098,Building,New Building,TOWNHOME TYPICAL 65556 LOT 108,11/12/2003,1/23/2004,195150,38308.57816,1,2004,INACTIVE (INSPECTIONS COMPLETED),032320
0798729483,Building,Alterations/repairs,FINISH BONUS ROO OVER GARAGE,7/28/2003,7/29/2003,12000,,7,2003,INACTIVE (INSPECTIONS COMPLETED),029725
0798729483,Building,Alteration/Repairs,STEEL PIER(12) STABILIZATION OF FOUNDATION,9/28/2015,9/28/2015,0,42275,9,2015,Complete,125690
0798729483,Building,Alteration/Repairs,"Removing and reinstalling in the existing frame, 19 new replacement double hung windows and 1 new re",4/19/2024,4/25/2024,0,,4,2024,Issued,BLDR-019169-2024
0798729372,Building,Addition,LAUNDRY ROOM ADDITION 108 SQ FT,10/2/2013,10/9/2013,27300,41927.54939,10,2013,INACTIVE (INSPECTIONS COMPLETED),109797
0798723687,Building,New Building,SFD,2/2/2004,2/19/2004,375000,38259.54755,2,2004,INACTIVE (INSPECTIONS COMPLETED),033967
0798716364,Building,Deck/Porch,DECK AND SCREENED PORCH: RE-BUILD EXISTING 12'X18' SECTION OF DECK WITH 2' EXTENSION AND ADD 12'X18',11/10/2020,11/24/2020,12000,,11,2020,Complete,BLDR-046747-2020
0798711875,Building,Addition,ADD ADDITION TO KITCHEN,12/27/2007,12/27/2007,21500,39545.81628,12,2007,INACTIVE (INSPECTIONS COMPLETED),072009
0798709603,Building,Deck/Porch,Sierra Structures will provide materials and labor to replace existing 192 sq ft deck.  The deck wil,10/6/2021,12/15/2021,9305,,12,2021,Complete,BLDR-048069-2021
0798633293,Building,Alterations/repairs,FINISH ATTIC,1/11/2006,1/12/2006,32500,38882.62866,1,2006,INACTIVE (INSPECTIONS COMPLETED),053173
0798633293,Building,Deck/Porch,REPLACE EXISTING DECK W/ COVERED PORCH AND DECK,3/16/2021,4/24/2021,2800,,4,2021,Complete,BLDR-012112-2021
0798632273,Building,Addition,ADDITION,4/14/2011,4/14/2011,101000,40864.54932,4,2011,INACTIVE (INSPECTIONS COMPLETED),091806
0798632273,Building,Retaining Wall,INSTALL 3.5 FT RETAINING WALL AND REPLACE SECTION OF EXISTING FENCE,9/2/2021,,0,,0,0,In Review,BLDR-042645-2021
0798632116,Building,Alterations/repairs,FINISH OUT WALK UP ATTIC,8/2/2005,8/2/2005,31755,38671.61282,8,2005,INACTIVE (INSPECTIONS COMPLETED),049080
0798632026,Building,Other,14 X 30 SCREEN PORCH OVER EXISTING DECK,6/13/2007,6/13/2007,6800,,6,2007,INACTIVE (INSPECTIONS COMPLETED),067469
0798628580,Building,New Building,SFD,5/5/2005,6/9/2005,375000,38790.58201,6,2005,INACTIVE (INSPECTIONS COMPLETED),046540
